country_name,bcode,ccode,bccode,alt_ccode,basin_name,continent_code,area
Kyrgyzstan,ILIX,KGZ,ILIX_KGZ, ,Ili/Kunes He,AS,727
Aksai Chin,INDU,CHN/IND,INDU_CHN/IND, ,Indus,AS,8308
China/India,INDU,CHN/IND,INDU_CHN/IND_1, ,Indus,AS,1863
India,INDU,IND,INDU_IND, ,Indus,AS,78781
Italy,ISNZ,ITA,ISNZ_ITA, ,Isonzo,EU,1134
Slovenia,ISNZ,SVN,ISNZ_SVN, ,Isonzo,EU,2223
Indonesia,JAPR,IDN,JAPR_IDN, ,Jayapura,AS,4765
Papua New Guinea,JAPR,PNG,JAPR_PNG, ,Jayapura,AS,488
Norway,JCBS,NOR,JCBS_NOR, ,Jacobs,EU,693
Russian Federation,JCBS,RUS,JCBS_RUS, ,Jacobs,EU,251
Egypt,JORD,EGY,JORD_EGY, ,Jordan,AS,2275
Israel,JORD,ISR,JORD_ISR, ,Jordan,AS,9626
Jordan,JORD,JOR,JORD_JOR, ,Jordan,AS,22644
Lebanon,JORD,LBN,JORD_LBN, ,Jordan,AS,668
Syrian Arab Republic,JORD,SYR,JORD_SYR, ,Jordan,AS,6791
West Bank,JORD,PAL,JORD_PAL, ,Jordan,AS,3001
Ethiopia,JUBA,ETH,JUBA_ETH, ,Juba-Shibeli,AF,365753
Kenya,JUBA,KEN,JUBA_KEN, ,Juba-Shibeli,AF,208902
Somalia,JUBA,SOM,JUBA_SOM, ,Juba-Shibeli,AF,217695
Colombia,JURD,COL,JURD_COL, ,Jurado,SA,643
Panama,JURD,PAN,JURD_PAN, ,Jurado,SA,275
India,KALD,IND,KALD_IND, ,Kaladan,AS,8187
Finland,KEMI,FIN,KEMI_FIN, ,Kemi,EU,50749
Russian Federation,KEMI,RUS,KEMI_RUS, ,Kemi,EU,3144
"Moldova, Republic of",KGNK,MDA,KGNK_MDA, ,Kogilnik,EU,1547
Ukraine,KGNK,UKR,KGNK_UKR, ,Kogilnik,EU,2425
Burkina Faso,KMOE,BFA,KMOE_BFA, ,Komoe,AF,17780
C̫te d'Ivoire,KMOE,CIV,KMOE_CIV, ,Komoe,AF,62655
Ghana,KMOE,GHA,KMOE_GHA, ,Komoe,AF,2535
Mali,KMOE,MLI,KMOE_MLI, ,Komoe,AF,420
Bangladesh,KNFL,BGD,KNFL_BGD, ,Karnaphuli,AS,9816
India,KNFL,IND,KNFL_IND, ,Karnaphuli,AS,4093
Afghanistan,KOWL,AFG,KOWL_AFG, ,Kowl E Namaksar,AS,13869
Iran  (Islamic Republic of),KOWL,IRN,KOWL_IRN, ,Kowl E Namaksar,AS,28403
Bosnia and Herzegovina,KRKA,BIH,KRKA_BIH, ,Krka,EU,86
Croatia,KRKA,HRV,KRKA_HRV, ,Krka,EU,2402
Norway,KRLV,NOR,KRLV_NOR, ,Klaralven,EU,9134
Sweden,KRLV,SWE,KRLV_SWE, ,Klaralven,EU,40957
Angola,KUNE,AGO,KUNE_AGO, ,Kunene,AF,94130
Namibia,KUNE,NAM,KUNE_NAM, ,Kunene,AF,14433
Armenia,KURA,ARM,KURA_ARM, ,Kura-Araks,AS,29624
Iran  (Islamic Republic of),KURA,IRN,KURA_IRN, ,Kura-Araks,AS,37109
Turkey,KURA,TUR,KURA_TUR, ,Kura-Araks,AS,28861
Lithuania,LAVA,LTU,LAVA_LTU, ,Lava/Pregel,EU,60
Poland,LAVA,POL,LAVA_POL, ,Lava/Pregel,EU,7885
Russian Federation,LAVA,RUS,LAVA_RUS, ,Lava/Pregel,EU,6522
Ethiopia,LGPS,ETH,LGPS_ETH, ,Lotagipi Swamp,AF,159
Ilemi triangle,LGPS,KEN/SSD,LGPS_KEN/SSD, ,Lotagipi Swamp,AF,2564
Kenya,LGPS,KEN,LGPS_KEN, ,Lotagipi Swamp,AF,20495
South Sudan,LGPS,SSD,LGPS_SSD, ,Lotagipi Swamp,AF,6964
Uganda,LGPS,UGA,LGPS_UGA, ,Lotagipi Swamp,AF,1577
Portugal,LIMA,PRT,LIMA_PRT, ,Lima,EU,1163
Spain,LIMA,ESP,LIMA_ESP, ,Lima,EU,1306
Algeria,LKCH,DZA,LKCH_DZA, ,Lake Chad,AF,106021
Cameroon,LKCH,CMR,LKCH_CMR, ,Lake Chad,AF,48031
Chad,LKCH,TCD,LKCH_TCD, ,Lake Chad,AF,1133463
Libya,LKCH,LBY,LKCH_LBY, ,Lake Chad,AF,57466
Niger,LKCH,NER,LKCH_NER, ,Lake Chad,AF,694460
Nigeria,LKCH,NGA,LKCH_NGA, ,Lake Chad,AF,178955
Sudan,LKCH,SDN,LKCH_SDN, ,Lake Chad,AF,163701
Argentina,LKFN,ARG,LKFN_ARG, ,Lake Fagnano,SA,3053
Chile,LKFN,CHL,LKFN_CHL, ,Lake Fagnano,SA,504
Kenya,LKNT,KEN,LKNT_KEN, ,Lake Natron,AF,17678
United Republic of Tanzania,LKNT,TZA,LKNT_TZA, ,Lake Natron,AF,9603
Bolivia,LKTC,BOL,LKTC_BOL, ,Lake Titicaca-Poopo System,SA,61739
Chile,LKTC,CHL,LKTC_CHL, ,Lake Titicaca-Poopo System,SA,1341
Peru,LKTC,PER,LKTC_PER, ,Lake Titicaca-Poopo System,SA,49160
Ethiopia,LKTK,ETH,LKTK_ETH, ,Lake Turkana,AF,99011
Ilemi triangle,LKTK,KEN/SSD,LKTK_KEN/SSD, ,Lake Turkana,AF,614
Kenya,LKTK,KEN,LKTK_KEN, ,Lake Turkana,AF,65354
South Sudan,LKTK,SSD,LKTK_SSD, ,Lake Turkana,AF,5290
Uganda,LKTK,UGA,LKTK_UGA, ,Lake Turkana,AF,2874
Mongolia,LKUN,MNG,LKUN_MNG, ,Lake Ubsa-Nur,AS,50151
Russian Federation,LKUN,RUS,LKUN_RUS, ,Lake Ubsa-Nur,AS,20178
Latvia,LLUP,LVA,LLUP_LVA, ,Lielupe,EU,8819
Lithuania,LLUP,LTU,LLUP_LTU, ,Lielupe,EU,8848
Ireland,LMEL,IRL,LMEL_IRL, ,Lough Melvin,EU,174
U.K. of Great Britain and Northern Ireland,LMEL,GBR,LMEL_GBR, ,Lough Melvin,EU,115
El Salvador,LMPA,SLV,LMPA_SLV, ,Lempa,NA,10145
Guatemala,LMPA,GTM,LMPA_GTM, ,Lempa,NA,2604
Honduras,LMPA,HND,LMPA_HND, ,Lempa,NA,5467
Botswana,LMPO,BWA,LMPO_BWA, ,Limpopo,AF,81413
Mozambique,LMPO,MOZ,LMPO_MOZ, ,Limpopo,AF,79517
South Africa,LMPO,ZAF,LMPO_ZAF, ,Limpopo,AF,182834
Zimbabwe,LMPO,ZWE,LMPO_ZWE, ,Limpopo,AF,62756
Uruguay,LMRM,URY,LMRM_URY, ,Lagoon Dos Patos-Lagoon Mirim,SA,32572
Indonesia,LOES,IDN,LOES_IDN, ,Loes,AS,710
Timor-Leste,LOES,TLS,LOES_TLS, ,Loes,AS,1857
Guinea,LOFF,GIN,LOFF_GIN, ,Loffa,AF,1442
Liberia,LOFF,LBR,LOFF_LBR, ,Loffa,AF,9004
Guinea,LSCR,GIN,LSCR_GIN, ,Little Scarcies,AF,5502
Guinea,MANA,GIN,MANA_GIN, ,Mana-Morro,AF,33
Liberia,MANA,LBR,MANA_LBR, ,Mana-Morro,AF,5691
Sierra Leone,MANA,SLE,MANA_SLE, ,Mana-Morro,AF,1910
Indonesia,MARO,IDN,MARO_IDN, ,Maro,AS,1660
Papua New Guinea,MARO,PNG,MARO_PNG, ,Maro,AS,1659
Dominican Republic,MASS,DOM,MASS_DOM, ,Massacre,NA,359
Haiti,MASS,HTI,MASS_HTI, ,Massacre,NA,418
Equatorial Guinea,MBEX,GNQ,MBEX_GNQ, ,Mbe,AF,655
Algeria,MDJD,DZA,MDJD_DZA, ,Medjerda,AF,7806
Tunisia,MDJD,TUN,MDJD_TUN, ,Medjerda,AF,15370
Cambodia,MEKO,KHM,MEKO_KHM, ,Mekong,AS,154083
China,MEKO,CHN,MEKO_CHN, ,Mekong,AS,164737
Bangladesh,MHRI,BGD,MHRI_BGD, ,Muhuri (aka Little Feni),AS,1281
India,MHRI,IND,MHRI_IND, ,Muhuri (aka Little Feni),AS,2506
Portugal,MINO,PRT,MINO_PRT, ,Mino,EU,517
Spain,MINO,ESP,MINO_ESP, ,Mino,EU,16163
Colombia,MIRA,COL,MIRA_COL, ,Mira,SA,4216
Ecuador,MIRA,ECU,MIRA_ECU, ,Mira,SA,6251
Russian Federation,MIUS,RUS,MIUS_RUS, ,Mius,EU,2247
Ukraine,MIUS,UKR,MIUS_UKR, ,Mius,EU,4840
Guinea,MOAX,GIN,MOAX_GIN, ,Moa,AF,8509
Liberia,MOAX,LBR,MOAX_LBR, ,Moa,AF,1712
Sierra Leone,MOAX,SLE,MOAX_SLE, ,Moa,AF,9339
Belize,MOHO,BLZ,MOHO_BLZ, ,Moho,NA,725
Guatemala,MOHO,GTM,MOHO_GTM, ,Moho,NA,464
Benin,MONO,BEN,MONO_BEN, ,Mono,AF,2705
Togo,MONO,TGO,MONO_TGO, ,Mono,AF,21283
Guatemala,MOTQ,GTM,MOTQ_GTM, ,Motaqua,NA,14230
Honduras,MOTQ,HND,MOTQ_HND, ,Motaqua,NA,2041
Afghanistan,MRGB,AFG,MRGB_AFG, ,Murgab,AS,38751
Turkmenistan,MRGB,TKM,MRGB_TKM, ,Murgab,AS,54584
Bulgaria,MRSA,BGR,MRSA_BGR, ,Maritsa,EU,35041
Turkey,MRSA,TUR,MRSA_TUR, ,Maritsa,EU,14477
Finland,NAAT,FIN,NAAT_FIN, ,Naatamo,EU,185
Norway,NAAT,NOR,NAAT_NOR, ,Naatamo,EU,534
Honduras,NEGR,HND,NEGR_HND, ,Negro,NA,993
Canada,NELS,CAN,NELS_CAN, ,Nelson-Saskatchewan,NA,934028
United States of America,NELS,USA,NELS_USA, ,Nelson-Saskatchewan,NA,154756
Syrian Arab Republic,NHRK,SYR,NHRK_SYR, ,Nahr El Kebir,AS,1336
Turkey,NHRK,TUR,NHRK_TUR, ,Nahr El Kebir,AS,262
Belarus,NMAN,BLR,NMAN_BLR, ,Neman,EU,44839
Latvia,NMAN,LVA,NMAN_LVA, ,Neman,EU,79
Lithuania,NMAN,LTU,NMAN_LTU, ,Neman,EU,43730
Poland,NMAN,POL,NMAN_POL, ,Neman,EU,2524
Russian Federation,NMAN,RUS,NMAN_RUS, ,Neman,EU,1757
Bosnia and Herzegovina,NRTV,BIH,NRTV_BIH, ,Neretva,EU,6376
Croatia,NRTV,HRV,NRTV_HRV, ,Neretva,EU,432
Belarus,NRVA,BLR,NRVA_BLR, ,Narva,EU,27
Estonia,NRVA,EST,NRVA_EST, ,Narva,EU,17483
Latvia,NRVA,LVA,NRVA_LVA, ,Narva,EU,3394
Russian Federation,NRVA,RUS,NRVA_RUS, ,Narva,EU,35615
Bulgaria,NSTO,BGR,NSTO_BGR, ,Nestos,EU,3404
Congo,NYGA,COG,NYGA_COG, ,Nyanga,AF,4964
Gabon,NYGA,GAB,NYGA_GAB, ,Nyanga,AF,19999
Algeria,ODBN,DZA,ODBN_DZA, ,Oued Bon Naima,AF,101
Morocco,ODBN,MAR,ODBN_MAR, ,Oued Bon Naima,AF,268
Germany,ODER,DEU,ODER_DEU, ,Oder/Odra,EU,5720
Cameroon,OGOO,CMR,OGOO_CMR, ,Ogooue,AF,5165
Equatorial Guinea,OGOO,GNQ,OGOO_GNQ, ,Ogooue,AF,1655
Angola,OKVG,AGO,OKVG_AGO, ,Okavango,AF,150103
Botswana,OKVG,BWA,OKVG_BWA, ,Okavango,AF,344426
Namibia,OKVG,NAM,OKVG_NAM, ,Okavango,AF,170188
Zimbabwe,OKVG,ZWE,OKVG_ZWE, ,Okavango,AF,25464
Finland,OLNG,FIN,OLNG_FIN, ,Olanga,EU,5786
Russian Federation,OLNG,RUS,OLNG_RUS, ,Olanga,EU,35980
Kazakhstan,ORAL,KAZ,ORAL_KAZ, ,Oral/Ural,EU,90374
Russian Federation,ORAL,RUS,ORAL_RUS, ,Oral/Ural,EU,121347
Botswana,ORAN,BWA,ORAN_BWA, ,Orange,AF,135377
Lesotho,ORAN,LSO,ORAN_LSO, ,Orange,AF,30212
Namibia,ORAN,NAM,ORAN_NAM, ,Orange,AF,242795
Benin,OUEM,BEN,OUEM_BEN, ,Oueme,AF,49095
Nigeria,OUEM,NGA,OUEM_NGA, ,Oueme,AF,10455
Togo,OUEM,TGO,OUEM_TGO, ,Oueme,AF,323
Finland,OULU,FIN,OULU_FIN, ,Oulu,EU,24684
Russian Federation,OULU,RUS,OULU_RUS, ,Oulu,EU,1287
Brazil,OYPK,BRA,OYPK_BRA, ,Oiapoque/Oyupock,SA,12638
French Guiana,OYPK,GUF,OYPK_GUF, ,Oiapoque/Oyupock,SA,13357
Kenya,PANG,KEN,PANG_KEN, ,Pangani,AF,2732
United Republic of Tanzania,PANG,TZA,PANG_TZA, ,Pangani,AF,37584
El Salvador,PAZX,SLV,PAZX_SLV, ,Paz,NA,963
Guatemala,PAZX,GTM,PAZX_GTM, ,Paz,NA,1214
Dominican Republic,PDNL,DOM,PDNL_DOM, ,Pedernales,NA,153
Haiti,PDNL,HTI,PDNL_HTI, ,Pedernales,NA,167
Myanmar,PKCN,MMR,PKCN_MMR, ,Pakchan,AS,1580
Thailand,PKCN,THA,PKCN_THA, ,Pakchan,AS,1646
Argentina,PLNA,ARG,PLNA_ARG, ,Palena,SA,5803
Chile,PLNA,CHL,PLNA_CHL, ,Palena,SA,7427
Brunei Darussalam,PNDR,BRN,PNDR_BRN, ,Pandaruan,AS,971
Switzerland,POXX,CHE,POXX_CHE, ,Po,EU,3774
Poland,PRLN,POL,PRLN_POL, ,Prohladnaja,EU,345
Russian Federation,PRLN,RUS,PRLN_RUS, ,Prohladnaja,EU,1446
Estonia,PRNU,EST,PRNU_EST, ,Parnu,EU,6914
Latvia,PRNU,LVA,PRNU_LVA, ,Parnu,EU,10
